asset_id,name,code,card_id,status,identification,source_image
tts_154860,平安时代的妖怪「封兽ぬえ」,FDF-118,character-fdf-117,待核对规则／数值,printed_code_workbook,cards/tts_154860__unmatched.jpg
tts_154861,不动的大图书馆「帕秋莉·诺蕾姬」,,character-fdf-119,已有卡面／重复裁切,project_image_match,cards/tts_154861__character-fdf-119.jpg
tts_154862,完美而潇洒的从者「十六夜咲夜」,,character-fdf-041,已有卡面／重复裁切,project_image_match,cards/tts_154862__character-fdf-041.jpg
tts_154863,幽冥的剑术家「魂魄妖梦」,,character-fdf-102,已有卡面／重复裁切,project_image_match,cards/tts_154863__character-fdf-102.jpg
tts_154900,「约定」,REI-006,spell-rei-006,已有卡面／重复裁切,project_image_match,cards/tts_154900__spell-rei-006.jpg
tts_154901,雾雨魔法店,MAR-006,field-mar-006,已有卡面／重复裁切,project_image_match,cards/tts_154901__field-mar-006.jpg
tts_154902,「灵击符」,MAR-007,spell-mar-007,已有卡面／重复裁切,project_image_match,cards/tts_154902__spell-mar-007.jpg
tts_154903,恋心「Double Spark」,MAR-002,spell-mar-002,已有卡面／重复裁切,project_image_match,cards/tts_154903__spell-mar-002.jpg
tts_154904,大结界的巫女「博丽灵梦」,REI-001,character-rei-001,已有卡面／重复裁切,project_image_match,cards/tts_154904__character-rei-001.jpg
tts_154905,「结界ノ一侧」,MAR-005,spell-mar-005,已有卡面／重复裁切,project_image_match,cards/tts_154905__spell-mar-005.jpg
tts_154906,光击「射月」,,spell-mar-012,已有卡面／重复裁切,project_image_match,cards/tts_154906__spell-mar-012.jpg
tts_154907,毗沙门天「寅丸星」,,character-rei-022,已有卡面／重复裁切,project_image_match,cards/tts_154907__character-rei-022.jpg
tts_154908,阳花的妖怪「风见幽香」,REI-024,character-soi-018,已收录异画,printed_code_workbook,cards/tts_154908__unmatched.jpg
tts_154909,邪恋「容易结果ノ极限火花」,MAR-004,spell-mar-004,已有卡面／重复裁切,project_image_match,cards/tts_154909__spell-mar-004.jpg
tts_154910,结界「扩散结界」,REI-002,spell-rei-002,已有卡面／重复裁切,project_image_match,cards/tts_154910__spell-rei-002.jpg
